beneficiary_name,total_donated,num_programs,ida_exemptions,ida_projects,ida_names,esd_benefits,esd_programs,ppp_loans,ppp_forgiven,ppp_jobs,combined_govt_subsidy,subsidy_per_dollar_donated
AMERICAN CHRISTMAS,2200.0,3,19761.57,1,Mount Vernon Industrial Development Agency,1704409.0,Empire Zone: MOUNT VERNON,2098170.0,2115948.99,126,3840119.5600000005,1745.5088909090912
GLOBAL TISSUE,4510.0,3,2114543.0,8,Brookhaven Industrial Development Agency,1008331.0,Empire Zone: BROOKHAVEN,640561.0,648581.17,49,3771455.17,836.2428314855875
M E ENGINEERING P C,88328.0,3,37370.0,1,Monroe Industrial Development Agency,0.0,LDC Loan (Monroe County Industrial Development Corporation),3352272.0,3390203.19,183,3427573.19,38.805058305407115
ATLANTIC TESTING LABORATORIES LIMITED,2798.0,3,29845.0,1,St. Lawrence County Industrial Development Agency,705378.6,Empire Zone: POTSDAM; Empire Zone: UTICA; Regional Council Capital Fund,2485445.0,2512682.75,233,3247906.35,1160.7956933523947
POWER CONSTRUCTION GROUP,17686.0,3,162987.22,2,Livingston County Industrial Development Agency,150000.0,Excelsior Jobs Admission,2865000.0,2897496.16,258,3210483.38,181.5268223453579
KLEIN STEEL SERVICE,16860.45,3,123744.6,4,Monroe Industrial Development Agency,870440.28,Empire Zone: ONONDAGA COUNTY; Empire Zone: ROCHESTER,2178557.0,2198790.72,167,3192975.6,189.3766536480343
FIBER INSTRUMENT SALES,29025.0,3,1754.92,2,Oneida County Industrial Development Agency,1237198.0,Empire Zone: ONEIDA COUNTY; Excelsior Jobs Admission; Excelsior Jobs Program; Regional Council Capital Fund,1875485.0,1894907.83,223,3133860.75,107.97108527131783
SOLCO PLUMBING SUPPLY,7650.0,3,292246.16,8,New York City Industrial Development Agency,77429.0,"Empire Zone: EAST NEW YORK, KINGS",2717500.0,2737300.28,157,3106975.44,406.14058039215683
VAN HOOK SERVICE,2460.0,3,65902.6,3,Monroe Industrial Development Agency,14486.59,LDC Grant (Monroe County Industrial Development Corporation),2944449.0,2964033.32,169,3044422.51,1237.57012601626
TMP TECHNOLOGIES,1100.0,3,1445712.86,6,Erie County Industrial Development Agency,954167.0,Empire Zone: BUFFALO; Excelsior Jobs Program,627206.0,632103.36,44,3031983.22,2756.348381818182
SYRACUSE LABEL,448.0,3,783246.84,9,Onondaga County Industrial Development Agency,1108855.0,Brownfield Redevelopment (Luther Avenue Site); Regional Council Capital Fund,1115807.0,1124213.77,102,3016315.61,6732.84734375
ZWEIGLE S,5135.0,3,224813.95,10,Monroe Industrial Development Agency,1722826.0,Empire Zone: ROCHESTER; Excelsior Jobs Admission; Excelsior Jobs Program; LDC Loan (Monroe County Industrial Development Corporation),829967.0,838175.71,65,2785815.66,542.5152210321324
QOSINA,466.6,3,570796.1,7,Islip Industrial Development Agency,185000.0,Regional Council Capital Fund,1970985.0,1991534.71,126,2747330.81,5887.978589798542
IMMEDIATE MAILING SERVICES,15152.4,3,187718.01,10,Onondaga County Industrial Development Agency,702039.0,Excelsior Jobs Admission; Excelsior Jobs Program; Excelsior Jobs Tax Credit; Regional Council Capital Fund,1755800.0,1782137.0,217,2671894.01,176.33470671312793
GORDON COMPANIES,13682.0,3,145885.44,9,Erie County Industrial Development Agency,0.0,LDC Loan (Cheektowaga Economic Development Corporation),2426944.0,2451458.61,333,2597344.05,189.8365772547873
PINE PHARMACEUTICALS,1000.0,3,514212.42,8,Erie County Industrial Development Agency,1269910.0,Excelsior Jobs Admission; Excelsior Jobs Program; Excelsior Jobs Tax Credit,788600.0,792991.43,70,2577113.85,2577.11385
POUGHKEEPSIE LANDING,9346.11,3,1090139.63,8,Poughkeepsie Industrial Development Agency,296784.07,Empire Zone: POUGHKEEPSIE/DUTCHESS,1116901.88,1123819.87,78,2510743.5700000003,268.6404900006527
PREMIUM MORTGAGE,27477.5,3,94771.0,7,Clarence Industrial Development Agency,0.0,LDC Loan (Monroe County Industrial Development Corporation),2240800.0,2281257.18,165,2376028.18,86.4717743608407
PREMIER BRANDS OF AMERICA,550.0,3,105714.0,6,Rockland County Industrial Development Agency,233035.0,Empire Zone: MOUNT VERNON,1803921.0,1824480.76,166,2163229.76,3933.1450181818177
ITHACA NEIGHBORHOOD HOUSING SERVICES,200.0,3,782616.58,6,Tompkins County Industrial Development Agency,375000.0,New York Works Economic Development Fund; Regional Council Capital Fund,978375.0,949050.45,96,2106667.0300000003,10533.33515
LATINA BOULEVARD FOODS,130.0,3,69531.0,1,Erie County Industrial Development Agency,0.0,LDC Loan (Cheektowaga Economic Development Corporation),1950000.0,1967630.14,237,2037161.14,15670.470307692307
GRAY METAL PRODUCTS,450.0,3,312898.28,6,Livingston County Industrial Development Agency,142242.0,Empire Zone: LIVINGSTON COUNTY,1519900.0,1544801.38,185,1999941.66,4444.3148
STS STEEL,1925.0,3,90189.8,8,City of Schenectady Industrial Development Agency,443572.0,Empire Zone: SCHENECTADY,1451352.0,1458042.38,104,1991804.18,1034.70347012987
MORSE MANUFACTURING,2248.0,3,950188.16,8,Onondaga County Industrial Development Agency,500000.0,Upstate Revitalization Initiative,450055.0,453322.52,39,1903510.6800000002,846.7574199288257
ARMOURED ONE,1150.0,3,51487.72,7,Onondaga County Industrial Development Agency,1000000.0,Excelsior Jobs Admission; Excelsior Jobs Program; Regional Council Capital Fund,708616.7,714898.82,60,1766386.54,1535.988295652174
SUPREME SCREW PRODUCTS,28520.0,3,68912.79,3,Nassau County Industrial Development Agency,600000.0,Excelsior Jobs Admission,1078710.0,1088488.51,91,1757401.3,61.61996143057504
