project_code,authority_name,applicant_name,school_district_name,project_city,date_approved,planned_end_year,school_revenue_lost,jobs_promised,jobs_current,job_shortfall,job_shortfall_pct,revenue_per_job,avg_salary_created,total_donated,is_nonprofit
3901-16-00A,Rockland County Industrial Development Agency,IRG/Pearl River Campus LLC,,PEARL RIVER,11/18/2015,2025,746293.0,3,0,3,100.0,746293.0,155000.0,0.0,No
3901-16-00A,Rockland County Industrial Development Agency,IRG/Pearl River Campus LLC,,PEARL RIVER,11/18/2015,2025,746250.0,3,0,3,100.0,746250.0,155000.0,0.0,No
35019201A,Oswego County Industrial Development Agency,Sithe Energies,,OSWEGO,11/24/1992,2013,735654.0,50,0,50,100.0,735654.0,0.0,26105.0,No
3901-23-06A,Rockland County Industrial Development Agency,Montbello Gateway LLC,Suffern Central School District,SUFFERN,01/20/2022,2034,733159.75,4,0,4,100.0,733159.75,50000.0,0.0,No
03011701,Broome Industrial Development Agency,Century Sunrise Development LLC,Johnson City Central School District,JOHNSON CITY,05/18/2016,2048,722552.62,11,3,8,72.7,240850.87,27727.0,0.0,No
48011504A,Sullivan County Industrial Development Agency,Veria Wellness Center,,MONTICELLO,09/18/2015,2036,719695.55,200,100,100,50.0,7196.96,50000.0,0.0,No
2017 Jun29,Peekskill Industrial Development Agency,Ft. Hill Peekskill LLC,,PEEKSKILL,12/30/2016,2028,713391.0,82,6,76,92.7,118898.5,30487.0,2000.0,No
03011701,Broome Industrial Development Agency,Century Sunrise Development LLC,Johnson City Central School District,JOHNSON CITY,05/18/2016,2048,711885.66,11,3,8,72.7,237295.22,27727.0,0.0,No
5503-19-03A,New Rochelle Industrial Development Agency,"""RFMCH Huguenot Property Owner, LLC""",New Rochelle City School District,NEW ROCHELLE,06/26/2019,2042,708791.0,15,0,15,100.0,708791.0,45000.0,0.0,No
03011701,Broome Industrial Development Agency,Century Sunrise Development LLC,Johnson City Central School District,JOHNSON CITY,05/18/2016,2048,701659.48,11,3,8,72.7,233886.49,27727.0,0.0,No
03011701,Broome Industrial Development Agency,Century Sunrise Development LLC,Johnson City Central School District,JOHNSON CITY,05/18/2016,2048,698843.94,11,3,8,72.7,232947.98,27727.0,0.0,No
48011504A,Sullivan County Industrial Development Agency,Veria Wellness Center,,MONTICELLO,09/18/2015,2036,698050.87,200,100,100,50.0,6980.51,50000.0,0.0,No
4703-01-08A,Islip Industrial Development Agency,Court Plaza Senior Apts.,,CENTRAL ISLIP,12/28/2001,2017,696999.17,4,0,4,100.0,696999.17,25000.0,0.0,No
4703-01-08A,Islip Industrial Development Agency,Court Plaza Senior Apts.,,CENTRAL ISLIP,12/28/2001,2017,695819.4500000001,4,0,4,100.0,695819.45,25000.0,0.0,No
5503-19-03A,New Rochelle Industrial Development Agency,"""RFMCH Huguenot Property Owner, LLC""",New Rochelle City School District,NEW ROCHELLE,06/26/2019,2042,692559.0,15,0,15,100.0,692559.0,45000.0,0.0,No
2017 Jun29,Peekskill Industrial Development Agency,Ft. Hill Peekskill LLC,,PEEKSKILL,12/30/2016,2028,690703.0,82,6,76,92.7,115117.17,30487.0,2000.0,No
4703-01-08A,Islip Industrial Development Agency,Court Plaza Senior Apts.,,CENTRAL ISLIP,12/28/2001,2017,683705.9,4,0,4,100.0,683705.9,25000.0,0.0,No
5503-21-06,New Rochelle Industrial Development Agency,RFMCH HUGUENOT PROPERTY OWNER II LLC,New Rochelle City School District,NEW ROCHELLE,09/25/2019,2044,682562.0,15,0,15,100.0,682562.0,45000.0,0.0,No
55072106A,Yonkers Industrial Development Agency,Hudson View Building #4,Yonkers City School District,YONKERS,12/30/2021,2036,677504.73,6,0,6,100.0,677504.73,85000.0,7700.0,No
3901-22-12A,Rockland County Industrial Development Agency,RCD Park Landowner LLC,Nyack Union Free School District,VALLEY COTTAGE,03/17/2022,2032,674525.0,15,0,15,100.0,674525.0,0.0,0.0,No
5503-16-09A,New Rochelle Industrial Development Agency,RXR 587 Main Owner LLC,New Rochelle City School District,NEW ROCHELLE,09/21/2016,2037,671589.0,55,8,47,85.5,83948.62,40661.0,0.0,No
03011701,Broome Industrial Development Agency,Century Sunrise Development LLC,Johnson City Central School District,JOHNSON CITY,05/18/2016,2048,667626.39,11,3,8,72.7,222542.13,27727.0,0.0,No
2602 19 073 A,Monroe Industrial Development Agency,20 Fairwood Associates LLC,,WEST HENRIETTA,09/10/2019,2049,664452.0,1,0,1,100.0,664452.0,47500.0,0.0,No
0101 13 03,Albany City Industrial Development Agency,"""Albany Medical Science Research, LLC c/o Wells Fargo Bank N.A.""",Albany City School District,ALBANY,01/17/2013,2023,663453.3699999999,135,0,135,100.0,663453.37,60225.0,39185.0,No
03011701,Broome Industrial Development Agency,Century Sunrise Development LLC,Johnson City Central School District,JOHNSON CITY,05/18/2016,2048,650643.26,11,3,8,72.7,216881.09,27727.0,0.0,No
3901-16-00A,Rockland County Industrial Development Agency,IRG/Pearl River Campus LLC,,PEARL RIVER,11/18/2015,2025,642374.4500000002,3,0,3,100.0,642374.45,155000.0,0.0,No
2602 14 044 A,Monroe Industrial Development Agency,Seneca Building of Monroe County LLC,Rochester City School District,ROCHESTER,09/16/2014,2032,634895.7000000001,17,0,17,100.0,634895.7,48000.0,0.0,No
03010602A,Broome Industrial Development Agency,"Millennium Pipeline, LLC",Pearl River Union Free School District,PEARL RIVER,05/24/2006,2021,634223.08,6,0,6,100.0,634223.08,51851.86,9364.0,No
4703-01-08A,Islip Industrial Development Agency,Court Plaza Senior Apts.,,CENTRAL ISLIP,12/28/2001,2017,633924.39,4,0,4,100.0,633924.39,25000.0,0.0,No
2802-14-08A,Hempstead Industrial Development Agency,900 Stewart Owner LLC,Uniondale Union Free School District,GARDEN CITY,08/27/2014,2030,632099.0,817,0,817,100.0,632099.0,75000.0,0.0,No
03010602A,Broome Industrial Development Agency,"Millennium Pipeline, LLC",Pearl River Union Free School District,PEARL RIVER,05/24/2006,2021,629467.83,6,0,6,100.0,629467.83,51851.86,9364.0,No
03010602A,Broome Industrial Development Agency,"Millennium Pipeline, LLC",Pearl River Union Free School District,PEARL RIVER,05/24/2006,2021,628172.1199999999,6,0,6,100.0,628172.12,51851.86,9364.0,No
050-R-2017-0929,Mount Vernon Industrial Development Agency,"Enclave Equities, LLC / 645 Mac Realty / 525 Mac Realty / 645 Mac-1 Realty / 525 Mac-1 Realty",,MOUNT VERNON,06/02/2017,2044,608577.0,215,5,210,97.7,121715.4,32500.0,0.0,No
4603 08 02A,Steuben County Industrial Development Agency,UPC Wind Management LLC,,COHOCTON,01/24/2008,2028,601944.0,3,0,3,100.0,601944.0,73500.0,2500.0,No
2017 Jun29,Peekskill Industrial Development Agency,Ft. Hill Peekskill LLC,,PEEKSKILL,12/30/2016,2028,590552.81,82,6,76,92.7,98425.47,30487.0,2000.0,No
4603 08 02A,Steuben County Industrial Development Agency,UPC Wind Management LLC,,COHOCTON,01/24/2008,2028,589411.56,3,0,3,100.0,589411.56,73500.0,2500.0,No
35019201A,Oswego County Industrial Development Agency,Sithe Energies,,OSWEGO,11/24/1992,2013,579647.0,50,0,50,100.0,579647.0,0.0,26105.0,No
4603 08 02A,Steuben County Industrial Development Agency,UPC Wind Management LLC,,COHOCTON,01/24/2008,2028,576879.6,3,0,3,100.0,576879.6,73500.0,2500.0,No
2602 19 073 A,Monroe Industrial Development Agency,20 Fairwood Associates LLC,,WEST HENRIETTA,09/10/2019,2049,572341.0,1,0,1,100.0,572341.0,47500.0,0.0,No
28021212A,Hempstead Industrial Development Agency,"W. Mosees Stubbs, Jr.",Valley Stream Union Free School District 24,VALLEY STREAM,06/27/2012,2031,568006.0,3,0,3,100.0,568006.0,50000.0,0.0,No
2602 19 073 B,Monroe Industrial Development Agency,20 Fairwood Road Associates,,WEST HENRIETTA,09/10/2019,2049,567411.0,1,0,1,100.0,567411.0,47500.0,0.0,No
2802-14-08A,Hempstead Industrial Development Agency,900 Stewart Owner LLC,Uniondale Union Free School District,GARDEN CITY,08/27/2014,2030,564242.0,817,0,817,100.0,564242.0,75000.0,0.0,No
2802-14-08A,Hempstead Industrial Development Agency,900 Stewart Owner LLC,Uniondale Union Free School District,GARDEN CITY,08/27/2014,2030,559275.0,817,0,817,100.0,559275.0,75000.0,0.0,No
4702-16-7A,Brookhaven Industrial Development Agency,"14 Glover, LLC",South Country Central School District,YAPHANK,11/16/2016,2032,545323.0,137,0,137,100.0,545323.0,80000.0,0.0,No
48010702A,Sullivan County Industrial Development Agency,Millennium Pipeline Company LLC,Pearl River Union Free School District,PEARL RIVER,12/19/2006,2024,539328.1599999999,17,0,17,100.0,539328.16,40000.0,32624.0,No
5503-16-09A,New Rochelle Industrial Development Agency,RXR 587 Main Owner LLC,New Rochelle City School District,NEW ROCHELLE,09/21/2016,2037,530331.0,55,8,47,85.5,66291.38,40661.0,0.0,No
48010702A,Sullivan County Industrial Development Agency,Millennium Pipeline Company LLC,Pearl River Union Free School District,PEARL RIVER,12/19/2006,2024,529720.11,17,0,17,100.0,529720.11,40000.0,32624.0,No
48010702A,Sullivan County Industrial Development Agency,Millennium Pipeline Company LLC,Pearl River Union Free School District,PEARL RIVER,12/19/2006,2024,526918.26,17,0,17,100.0,526918.26,40000.0,32624.0,No
48010702A,Sullivan County Industrial Development Agency,Millennium Pipeline Company LLC,Pearl River Union Free School District,PEARL RIVER,12/19/2006,2024,526304.75,17,0,17,100.0,526304.75,40000.0,32624.0,No
28021212A,Hempstead Industrial Development Agency,"W. Mosees Stubbs, Jr.",Valley Stream Union Free School District 24,VALLEY STREAM,06/27/2012,2031,518199.0,3,0,3,100.0,518199.0,50000.0,0.0,No
5503-16-09A,New Rochelle Industrial Development Agency,RXR 587 Main Owner LLC,New Rochelle City School District,NEW ROCHELLE,09/21/2016,2037,516736.0,55,8,47,85.5,64592.0,40661.0,0.0,No
5503-16-09A,New Rochelle Industrial Development Agency,RXR 587 Main Owner LLC,New Rochelle City School District,NEW ROCHELLE,09/21/2016,2037,515998.13,55,8,47,85.5,64499.77,40661.0,0.0,No
3804-1003A,Rensselaer County Industrial Development Agency,Scannell Properties,,EAST GREENBUSH,12/09/2010,2024,513519.25,174,0,174,100.0,513519.25,0.0,5000.0,No
0101 13 03,Albany City Industrial Development Agency,"""Albany Medical Science Research, LLC c/o Wells Fargo Bank N.A.""",Albany City School District,ALBANY,01/17/2013,2023,511806.89999999997,135,0,135,100.0,511806.9,60225.0,39185.0,No
5503-19-02A,New Rochelle Industrial Development Agency,CH New Rochelle LLC,New Rochelle City School District,NEW ROCHELLE,06/26/2019,2042,511639.0,10,0,10,100.0,511639.0,58320.0,0.0,No
2602 19 073 B,Monroe Industrial Development Agency,20 Fairwood Road Associates,,WEST HENRIETTA,09/10/2019,2049,510980.0,1,0,1,100.0,510980.0,47500.0,0.0,No
0101 13 03,Albany City Industrial Development Agency,"""Albany Medical Science Research, LLC c/o Wells Fargo Bank N.A.""",Albany City School District,ALBANY,01/17/2013,2023,509818.50999999995,135,0,135,100.0,509818.51,60225.0,39185.0,No
5503-16-09A,New Rochelle Industrial Development Agency,RXR 587 Main Owner LLC,New Rochelle City School District,NEW ROCHELLE,09/21/2016,2037,509166.0,55,8,47,85.5,63645.75,40661.0,0.0,No
5503-16-09A,New Rochelle Industrial Development Agency,RXR 587 Main Owner LLC,New Rochelle City School District,NEW ROCHELLE,09/21/2016,2037,502436.0,55,8,47,85.5,62804.5,40661.0,0.0,No
