quarter,category,transaction_date,perform_start,perform_end,vendor,description,amount_usd
2023Q3,advertising,26-Sep-23,21-Jul-23,2-Aug-23,CITIBANK -FACEBK 3G3ZFTK3J2,ADVERTISEMENTS,35.00
2023Q3,advertising,26-Sep-23,16-Aug-23,18-Aug-23,CITIBANK -FACEBK U88Z7TX2J2,ADVERTISEMENTS,7.31
2023Q3,advertising,26-Sep-23,2-Aug-23,16-Aug-23,CITIBANK -FACEBK ZDG2VTK3J2,ADVERTISEMENTS,50.00
2023Q3,tele_town_hall,28-Sep-23,21-Sep-23,21-Sep-23,COEFFICIENT GROUP,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2023Q3,tele_town_hall,28-Sep-23,18-Sep-23,21-Sep-23,COEFFICIENT GROUP,FRANKABLE TELECOM/TELETOWNHALL,7422.56
2023Q3,tele_town_hall,5-Jul-23,24-Apr-23,24-Apr-23,COEFFICIENT GROUP,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2023Q3,tele_town_hall,5-Jul-23,22-Jun-23,22-Jun-23,COEFFICIENT GROUP,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2023Q3,tele_town_hall,5-Jul-23,24-May-23,24-May-23,COEFFICIENT GROUP,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2023Q3,advertising,8-Aug-23,22-May-23,11-Jul-23,THE FRANKING GROUP,ADVERTISEMENTS,2500.00
2023Q3,tele_town_hall,9-Aug-23,27-Jul-23,27-Jul-23,COEFFICIENT GROUP,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2023Q4,tele_town_hall,12-Dec-23,30-Nov-23,30-Nov-23,COEFFICIENT,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2023Q4,tele_town_hall,13-Nov-23,25-Oct-23,25-Oct-23,COEFFICIENT,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2023Q4,advertising,19-Oct-23,19-Sep-23,19-Sep-23,CITIBANK -FACEBK 5JRMJU33J2,ADVERTISEMENTS,2.23
2023Q4,advertising,19-Oct-23,5-Sep-23,10-Sep-23,CITIBANK -FACEBK 67BH7VT3J2,ADVERTISEMENTS,62.35
2023Q4,advertising,19-Oct-23,19-Aug-23,3-Sep-23,CITIBANK -FACEBK 7Z8CHUF3J2,ADVERTISEMENTS,75.00
2023Q4,advertising,19-Oct-23,3-Sep-23,4-Sep-23,CITIBANK -FACEBK 9QUCJUF3J2,ADVERTISEMENTS,125.00
2023Q4,advertising,19-Oct-23,3-Sep-23,4-Sep-23,CITIBANK -FACEBK J9WUNTX2J2,ADVERTISEMENTS,75.00
2023Q4,advertising,19-Oct-23,4-Sep-23,5-Sep-23,CITIBANK -FACEBK UD76YT73J2,ADVERTISEMENTS,175.00
2023Q4,advertising,21-Dec-23,11-Nov-23,17-Nov-23,CITIBANK -FACEBK 4GMU8WT2J2,ADVERTISEMENTS,134.47
2023Q4,advertising,21-Dec-23,19-Oct-23,12-Nov-23,CITIBANK -FACEBK XMSDRWK3J2,ADVERTISEMENTS,250.00
2023Q4,advertising,21-Nov-23,18-Oct-23,19-Oct-23,CITIBANK -FACEBK EL559WT3J2,ADVERTISEMENTS,5.91
2023Q4,advertising,21-Nov-23,20-Sep-23,18-Oct-23,CITIBANK -FACEBK NX8M5VP3J2,ADVERTISEMENTS,109.39
2024Q1,tele_town_hall,11-Jan-24,28-Dec-23,28-Dec-23,COEFFICIENT,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2024Q1,advertising,15-Feb-24,19-Dec-23,9-Jan-24,CITIBANK -FACEBK FU2FVXT2J2,ADVERTISEMENTS,250.00
2024Q1,advertising,15-Feb-24,9-Jan-24,18-Jan-24,CITIBANK -FACEBK HMR5AYX2J2,ADVERTISEMENTS,178.58
2024Q1,advertising,15-Feb-24,19-Jan-24,19-Jan-24,CITIBANK -FACEBK U8GR8YT2J2,ADVERTISEMENTS,5.47
